mode,frequency_hz,observed_m_s,theoretical_m_s
0,5.9377646,102.9,105.08
0,6.045724,104.6,105.08
0,6.1536833,127.4,115.08
0,6.2616427,100.9,101.08
0,6.369602,114.8,107.08
0,6.4775614,116.2,107.08
0,6.5855207,115.1,106.08
0,6.6934801,107.6,101.08
0,6.8014395,95,95.08
0,6.9093988,81.9,90.08
0,7.0173582,84.5,90.08
0,7.1253175,80.4,89.08
0,7.3412362,79,87.08
0,8.0969517,66,82.08
0,8.2049111,65.2,82.08
0,8.3128704,58.8,81.08
0,8.4208298,63.1,81.08
0,8.5287892,57.7,80.08
0,8.6367485,76.3,84.08
0,8.7447079,75.8,83.08
0,8.8526672,74.1,83.08
0,8.9606266,74.3,83.08
0,9.0685859,79,83.08
0,9.1765453,83.7,84.08
0,9.2845047,80.4,83.08
0,9.392464,79.9,83.08
0,9.5004234,83.8,84.08
0,9.6083827,81.2,83.08
0,9.7163421,79.9,82.08
0,9.8243014,79.5,82.08
0,9.9322608,73.7,81.08
0,10.04022,77.3,82.08
0,10.14818,76.7,81.08
0,10.256139,75.2,81.08
0,10.364098,81.1,82.08
0,10.472058,80.6,82.08
0,10.580017,82,82.08
0,10.687976,81.4,82.08
0,10.795936,80.7,81.08
0,10.903895,83.1,82.08
0,11.011854,100.7,84.08
0,11.119814,101.4,84.08
0,11.227773,83.6,81.08
0,11.335732,83.4,81.08
0,11.443692,80.7,81.08
0,11.551651,82.3,81.08
0,11.65961,82.8,81.08
0,11.76757,80.2,80.08
0,11.875529,82.1,80.08
0,11.983489,79.1,80.08
0,12.091448,79.3,80.08
0,12.199407,80.4,80.08
0,12.307367,80.6,80.08
0,12.415326,80.6,80.08
0,12.523285,80.5,80.08
0,12.631245,78.3,79.08
0,12.739204,77.4,79.08
0,12.847163,106.1,83.08
0,12.955123,110.4,83.08
0,13.063082,111.2,83.08
0,13.171041,111.5,83.08
0,13.279001,110.5,83.08
0,13.38696,111,83.08
0,13.49492,109.6,82.08
0,13.602879,107.1,82.08
0,13.710838,103.4,81.08
0,13.818798,93,80.08
0,13.926757,90.8,80.08
0,14.034716,90,80.08
0,14.142676,87.3,79.08
0,14.250635,85.1,79.08
0,14.358594,86.1,79.08
0,14.466554,82.6,79.08
0,14.574513,83.5,79.08
0,14.682472,84.8,79.08
0,14.790432,83.1,78.08
0,14.898391,86.3,79.08
0,15.006351,80.9,78.08
0,15.11431,82.1,78.08
0,15.222269,81.3,78.08
0,15.330229,81.1,78.08
0,15.438188,81.8,78.08
0,15.546147,81.7,78.08
0,15.654107,82.1,78.08
0,15.762066,82.1,78.08
0,15.870025,82.5,78.08
0,15.977985,80.8,78.08
0,16.085944,81.3,78.08
0,16.193903,81,77.08
0,16.301863,79.9,77.08
0,16.409822,80.5,77.08
0,16.517782,79.5,77.08
0,16.625741,79.1,77.08
0,16.7337,78.6,77.08
0,16.84166,79.1,77.08
0,16.949619,77.3,77.08
0,17.057578,77.1,76.08
0,17.165538,76.8,76.08
0,17.273497,74.9,76.08
0,17.381456,75.7,76.08
0,17.489416,75.2,76.08
0,17.597375,74.8,76.08
0,17.705334,74.1,76.08
0,17.813294,74,76.08
0,17.921253,73.7,75.08
0,18.029213,73.3,75.08
0,18.137172,72.9,75.08
0,18.245131,73,75.08
0,18.353091,73.5,75.08
0,18.46105,73.9,75.08
0,18.569009,74.3,75.08
0,18.676969,75,75.08
