sample,time_s,value_v,sample_offset,aligned_sample,aligned_time_s
0,0.000000000,-0.8884429931640625,0,0,0.000000000
1,0.000384025,-0.8825302124023438,0,1,0.000384025
2,0.000768049,-0.8929252624511719,0,2,0.000768049
3,0.001152074,-0.9352493286132812,0,3,0.001152074
4,0.001536098,-0.9437179565429688,0,4,0.001536098
5,0.001920123,-0.9465789794921875,0,5,0.001920123
6,0.002304147,-0.9542083740234375,0,6,0.002304147
7,0.002688172,-0.95977783203125,0,7,0.002688172
8,0.003072197,-0.9632110595703125,0,8,0.003072197
9,0.003456221,-0.9607505798339844,0,9,0.003456221
10,0.003840246,-0.9638595581054688,0,10,0.003840246
11,0.004224270,-0.9803009033203125,0,11,0.004224270
12,0.004608295,-0.9873580932617188,0,12,0.004608295
13,0.004992320,-0.9904289245605469,0,13,0.004992320
14,0.005376344,-0.9914398193359375,0,14,0.005376344
15,0.005760369,-1.0002899169921875,0,15,0.005760369
16,0.006144393,-1.0117912292480469,0,16,0.006144393
17,0.006528418,-1.0240745544433594,0,17,0.006528418
18,0.006912442,-1.0291099548339844,0,18,0.006912442
19,0.007296467,-1.0315132141113281,0,19,0.007296467
20,0.007680492,-1.0322952270507812,0,20,0.007680492
21,0.008064516,-1.0433578491210938,0,21,0.008064516
22,0.008448541,-1.0434532165527344,0,22,0.008448541
23,0.008832565,-1.0500335693359375,0,23,0.008832565
24,0.009216590,-1.0627174377441406,0,24,0.009216590
25,0.009600614,-1.0856819152832031,0,25,0.009600614
26,0.009984639,-1.0983085632324219,0,26,0.009984639
27,0.010368664,-1.1041259765625,0,27,0.010368664
28,0.010752688,-1.1164283752441406,0,28,0.010752688
29,0.011136713,-1.1204910278320312,0,29,0.011136713
30,0.011520737,-1.1180496215820312,0,30,0.011520737
31,0.011904762,-1.1027336120605469,0,31,0.011904762
32,0.012288786,-1.0852813720703125,0,32,0.012288786
33,0.012672811,-1.0723495483398438,0,33,0.012672811
34,0.013056836,-1.0557174682617188,0,34,0.013056836
35,0.013440860,-1.0470199584960938,0,35,0.013440860
36,0.013824885,-1.04461669921875,0,36,0.013824885
37,0.014208909,-1.0370826721191406,0,37,0.014208909
38,0.014592934,-1.0305404663085938,0,38,0.014592934
39,0.014976959,-1.0199546813964844,0,39,0.014976959
40,0.015360983,-1.0067939758300781,0,40,0.015360983
41,0.015745008,-0.9877967834472656,0,41,0.015745008
42,0.016129032,-0.9811210632324219,0,42,0.016129032
43,0.016513057,-0.9799957275390625,0,43,0.016513057
44,0.016897081,-0.9791374206542969,0,44,0.016897081
45,0.017281106,-0.9741401672363281,0,45,0.017281106
46,0.017665131,-0.9689140319824219,0,46,0.017665131
47,0.018049155,-0.9610176086425781,0,47,0.018049155
48,0.018433180,-0.9576797485351562,0,48,0.018433180
49,0.018817204,-0.9464836120605469,0,49,0.018817204
50,0.019201229,-0.9390068054199219,0,50,0.019201229
51,0.019585253,-0.9344100952148438,0,51,0.019585253
52,0.019969278,-0.93017578125,0,52,0.019969278
53,0.020353303,-0.9450340270996094,0,53,0.020353303
54,0.020737327,-0.9389686584472656,0,54,0.020737327
55,0.021121352,-0.9348106384277344,0,55,0.021121352
56,0.021505376,-0.9241294860839844,0,56,0.021505376
57,0.021889401,-0.9350395202636719,0,57,0.021889401
58,0.022273425,-0.9351539611816406,0,58,0.022273425
59,0.022657450,-0.9362602233886719,0,59,0.022657450
60,0.023041475,-0.9505462646484375,0,60,0.023041475
61,0.023425499,-0.9633255004882812,0,61,0.023425499
62,0.023809524,-0.9629249572753906,0,62,0.023809524
63,0.024193548,-0.979156494140625,0,63,0.024193548
64,0.024577573,-0.9830665588378906,0,64,0.024577573
65,0.024961598,-0.9831428527832031,0,65,0.024961598
66,0.025345622,-0.9975433349609375,0,66,0.025345622
67,0.025729647,-1.0058975219726562,0,67,0.025729647
68,0.026113671,-1.0128402709960938,0,68,0.026113671
69,0.026497696,-1.01898193359375,0,69,0.026497696
70,0.026881720,-1.0205268859863281,0,70,0.026881720
71,0.027265745,-1.033935546875,0,71,0.027265745
72,0.027649770,-1.0344123840332031,0,72,0.027649770
73,0.028033794,-1.0403251647949219,0,73,0.028033794
74,0.028417819,-1.0485458374023438,0,74,0.028417819
75,0.028801843,-1.053924560546875,0,75,0.028801843
76,0.029185868,-1.0608673095703125,0,76,0.029185868
77,0.029569892,-1.0787391662597656,0,77,0.029569892
78,0.029953917,-1.0918045043945312,0,78,0.029953917
79,0.030337942,-1.1116981506347656,0,79,0.030337942
80,0.030721966,-1.1083984375,0,80,0.030721966
81,0.031105991,-1.1106491088867188,0,81,0.031105991
82,0.031490015,-1.1044120788574219,0,82,0.031490015
83,0.031874040,-1.0938835144042969,0,83,0.031874040
84,0.032258065,-1.0808181762695312,0,84,0.032258065
85,0.032642089,-1.0732078552246094,0,85,0.032642089
86,0.033026114,-1.0619163513183594,0,86,0.033026114
87,0.033410138,-1.0470199584960938,0,87,0.033410138
88,0.033794163,-1.0418891906738281,0,88,0.033794163
89,0.034178187,-1.036224365234375,0,89,0.034178187
90,0.034562212,-1.0264968872070312,0,90,0.034562212
91,0.034946237,-1.0200309753417969,0,91,0.034946237
92,0.035330261,-1.0120391845703125,0,92,0.035330261
93,0.035714286,-1.0032272338867188,0,93,0.035714286
94,0.036098310,-0.9907722473144531,0,94,0.036098310
95,0.036482335,-0.9657669067382812,0,95,0.036482335
96,0.036866359,-0.9560394287109375,0,96,0.036866359
97,0.037250384,-0.9540557861328125,0,97,0.037250384
98,0.037634409,-0.9511375427246094,0,98,0.037634409
99,0.038018433,-0.9529876708984375,0,99,0.038018433
100,0.038402458,-0.9449195861816406,0,100,0.038402458
101,0.038786482,-0.9454536437988281,0,101,0.038786482
102,0.039170507,-0.9310340881347656,0,102,0.039170507
103,0.039554531,-0.9298515319824219,0,103,0.039554531
104,0.039938556,-0.9311103820800781,0,104,0.039938556
105,0.040322581,-0.926971435546875,0,105,0.040322581
106,0.040706605,-0.9147262573242188,0,106,0.040706605
107,0.041090630,-0.9200096130371094,0,107,0.041090630
108,0.041474654,-0.9303665161132812,0,108,0.041474654
109,0.041858679,-0.92987060546875,0,109,0.041858679
110,0.042242704,-0.9317779541015625,0,110,0.042242704
111,0.042626728,-0.9338188171386719,0,111,0.042626728
112,0.043010753,-0.9483528137207031,0,112,0.043010753
113,0.043394777,-0.953369140625,0,113,0.043394777
114,0.043778802,-0.9695243835449219,0,114,0.043778802
115,0.044162826,-0.9792900085449219,0,115,0.044162826
116,0.044546851,-0.9796524047851562,0,116,0.044546851
117,0.044930876,-0.9926223754882812,0,117,0.044930876
118,0.045314900,-1.0019874572753906,0,118,0.045314900
119,0.045698925,-1.0140419006347656,0,119,0.045698925
120,0.046082949,-1.0100936889648438,0,120,0.046082949
121,0.046466974,-1.0094451904296875,0,121,0.046466974
122,0.046850998,-1.0160255432128906,0,122,0.046850998
123,0.047235023,-1.0284996032714844,0,123,0.047235023
124,0.047619048,-1.0331153869628906,0,124,0.047619048
125,0.048003072,-1.0490226745605469,0,125,0.048003072
126,0.048387097,-1.062164306640625,0,126,0.048387097
127,0.048771121,-1.0669517517089844,0,127,0.048771121
128,0.049155146,-1.0748481750488281,0,128,0.049155146
129,0.049539171,-1.085205078125,0,129,0.049539171
130,0.049923195,-1.0993576049804688,0,130,0.049923195
131,0.050307220,-1.1020660400390625,0,131,0.050307220
132,0.050691244,-1.1059188842773438,0,132,0.050691244
133,0.051075269,-1.1052322387695312,0,133,0.051075269
134,0.051459293,-1.1066627502441406,0,134,0.051459293
135,0.051843318,-1.1028671264648438,0,135,0.051843318
136,0.052227343,-1.0900115966796875,0,136,0.052227343
137,0.052611367,-1.0727691650390625,0,137,0.052611367
138,0.052995392,-1.0521125793457031,0,138,0.052995392
139,0.053379416,-1.0392379760742188,0,139,0.053379416
140,0.053763441,-1.0295295715332031,0,140,0.053763441
141,0.054147465,-1.018524169921875,0,141,0.054147465
142,0.054531490,-1.011199951171875,0,142,0.054531490
143,0.054915515,-1.0032463073730469,0,143,0.054915515
144,0.055299539,-0.9993171691894531,0,144,0.055299539
145,0.055683564,-0.982513427734375,0,145,0.055683564
146,0.056067588,-0.9830665588378906,0,146,0.056067588
147,0.056451613,-0.9746170043945312,0,147,0.056451613
148,0.056835637,-0.9715461730957031,0,148,0.056835637
149,0.057219662,-0.9677505493164062,0,149,0.057219662
150,0.057603687,-0.9620094299316406,0,150,0.057603687
151,0.057987711,-0.9504508972167969,0,151,0.057987711
152,0.058371736,-0.91217041015625,0,152,0.058371736
153,0.058755760,-0.8998680114746094,0,153,0.058755760
154,0.059139785,-0.9116935729980469,0,154,0.059139785
155,0.059523810,-0.9199714660644531,0,155,0.059523810
156,0.059907834,-0.9266090393066406,0,156,0.059907834
157,0.060291859,-0.9237098693847656,0,157,0.060291859
158,0.060675883,-0.9218788146972656,0,158,0.060675883
159,0.061059908,-0.924530029296875,0,159,0.061059908
160,0.061443932,-0.9292221069335938,0,160,0.061443932
161,0.061827957,-0.9333610534667969,0,161,0.061827957
162,0.062211982,-0.9412193298339844,0,162,0.062211982
163,0.062596006,-0.9500694274902344,0,163,0.062596006
164,0.062980031,-0.9663772583007812,0,164,0.062980031
165,0.063364055,-0.9638786315917969,0,165,0.063364055
166,0.063748080,-0.9736442565917969,0,166,0.063748080
167,0.064132104,-0.9718704223632812,0,167,0.064132104
168,0.064516129,-0.9638404846191406,0,168,0.064516129
169,0.064900154,-0.9591865539550781,0,169,0.064900154
170,0.065284178,-0.9724044799804688,0,170,0.065284178
171,0.065668203,-0.9911537170410156,0,171,0.065668203
172,0.066052227,-1.0120582580566406,0,172,0.066052227
173,0.066436252,-1.0109329223632812,0,173,0.066436252
174,0.066820276,-1.0170936584472656,0,174,0.066820276
175,0.067204301,-1.0251808166503906,0,175,0.067204301
176,0.067588326,-1.0318756103515625,0,176,0.067588326
177,0.067972350,-1.048736572265625,0,177,0.067972350
178,0.068356375,-1.0602569580078125,0,178,0.068356375
179,0.068740399,-1.0687065124511719,0,179,0.068740399
180,0.069124424,-1.0562896728515625,0,180,0.069124424
181,0.069508449,-1.05621337890625,0,181,0.069508449
182,0.069892473,-1.0720443725585938,0,182,0.069892473
183,0.070276498,-1.0891914367675781,0,183,0.070276498
184,0.070660522,-1.10382080078125,0,184,0.070660522
