capture_order,capture_id,capture_label,capture_source,node_index,node_type,node_role,geo_number,slave_id,pcb_id,signal,sample,time_s,value_v,sample_offset,aligned_sample,aligned_time_s,fs_hz,adc_config,adc_range_v,adc_counts_per_volt,hammer_offset_m,position_m,pga_code,pga_gain,vdac_byte,mac
1,preserved_1784935315356_1,Start 1,preserved,1,Geo1,geo,1,S1,S1,raw,0,0.000000000,-0.8884429931640625,0,0,0.000000000,2604,1,2.5,52428.8,0,0,0,1,128,C8:2E:18:68:5F:6C
1,preserved_1784935315356_1,Start 1,preserved,1,Geo1,geo,1,S1,S1,raw,1,0.000384025,-0.8825302124023438,0,1,0.000384025,2604,1,2.5,52428.8,0,0,0,1,128,C8:2E:18:68:5F:6C
1,preserved_1784935315356_1,Start 1,preserved,1,Geo1,geo,1,S1,S1,raw,2,0.000768049,-0.8929252624511719,0,2,0.000768049,2604,1,2.5,52428.8,0,0,0,1,128,C8:2E:18:68:5F:6C
1,preserved_1784935315356_1,Start 1,preserved,1,Geo1,geo,1,S1,S1,raw,3,0.001152074,-0.9352493286132812,0,3,0.001152074,2604,1,2.5,52428.8,0,0,0,1,128,C8:2E:18:68:5F:6C
1,preserved_1784935315356_1,Start 1,preserved,1,Geo1,geo,1,S1,S1,raw,4,0.001536098,-0.9437179565429688,0,4,0.001536098,2604,1,2.5,52428.8,0,0,0,1,128,C8:2E:18:68:5F:6C
1,preserved_1784935315356_1,Start 1,preserved,1,Geo1,geo,1,S1,S1,raw,5,0.001920123,-0.9465789794921875,0,5,0.001920123,2604,1,2.5,52428.8,0,0,0,1,128,C8:2E:18:68:5F:6C
1,preserved_1784935315356_1,Start 1,preserved,1,Geo1,geo,1,S1,S1,raw,6,0.002304147,-0.9542083740234375,0,6,0.002304147,2604,1,2.5,52428.8,0,0,0,1,128,C8:2E:18:68:5F:6C
1,preserved_1784935315356_1,Start 1,preserved,1,Geo1,geo,1,S1,S1,raw,7,0.002688172,-0.95977783203125,0,7,0.002688172,2604,1,2.5,52428.8,0,0,0,1,128,C8:2E:18:68:5F:6C
1,preserved_1784935315356_1,Start 1,preserved,1,Geo1,geo,1,S1,S1,raw,8,0.003072197,-0.9632110595703125,0,8,0.003072197,2604,1,2.5,52428.8,0,0,0,1,128,C8:2E:18:68:5F:6C
1,preserved_1784935315356_1,Start 1,preserved,1,Geo1,geo,1,S1,S1,raw,9,0.003456221,-0.9607505798339844,0,9,0.003456221,2604,1,2.5,52428.8,0,0,0,1,128,C8:2E:18:68:5F:6C
