sample,time_s,value_v,sample_offset,aligned_sample,aligned_time_s
0,,-0.8884429931640625,0,0,
1,,-0.8825302124023438,0,1,
2,,-0.8929252624511719,0,2,
3,,-0.9352493286132812,0,3,
4,,-0.9437179565429688,0,4,
5,,-0.9465789794921875,0,5,
6,,-0.9542083740234375,0,6,
7,,-0.95977783203125,0,7,
8,,-0.9632110595703125,0,8,
9,,-0.9607505798339844,0,9,
10,,-0.9638595581054688,0,10,
11,,-0.9803009033203125,0,11,
12,,-0.9873580932617188,0,12,
13,,-0.9904289245605469,0,13,
14,,-0.9914398193359375,0,14,
15,,-1.0002899169921875,0,15,
16,,-1.0117912292480469,0,16,
17,,-1.0240745544433594,0,17,
18,,-1.0291099548339844,0,18,
19,,-1.0315132141113281,0,19,
20,,-1.0322952270507812,0,20,
21,,-1.0433578491210938,0,21,
22,,-1.0434532165527344,0,22,
23,,-1.0500335693359375,0,23,
24,,-1.0627174377441406,0,24,
25,,-1.0856819152832031,0,25,
26,,-1.0983085632324219,0,26,
27,,-1.1041259765625,0,27,
28,,-1.1164283752441406,0,28,
29,,-1.1204910278320312,0,29,
30,,-1.1180496215820312,0,30,
31,,-1.1027336120605469,0,31,
32,,-1.0852813720703125,0,32,
33,,-1.0723495483398438,0,33,
34,,-1.0557174682617188,0,34,
35,,-1.0470199584960938,0,35,
36,,-1.04461669921875,0,36,
37,,-1.0370826721191406,0,37,
38,,-1.0305404663085938,0,38,
39,,-1.0199546813964844,0,39,
40,,-1.0067939758300781,0,40,
41,,-0.9877967834472656,0,41,
42,,-0.9811210632324219,0,42,
43,,-0.9799957275390625,0,43,
44,,-0.9791374206542969,0,44,
45,,-0.9741401672363281,0,45,
46,,-0.9689140319824219,0,46,
47,,-0.9610176086425781,0,47,
48,,-0.9576797485351562,0,48,
49,,-0.9464836120605469,0,49,
50,,-0.9390068054199219,0,50,
51,,-0.9344100952148438,0,51,
52,,-0.93017578125,0,52,
53,,-0.9450340270996094,0,53,
54,,-0.9389686584472656,0,54,
55,,-0.9348106384277344,0,55,
56,,-0.9241294860839844,0,56,
57,,-0.9350395202636719,0,57,
58,,-0.9351539611816406,0,58,
59,,-0.9362602233886719,0,59,
60,,-0.9505462646484375,0,60,
61,,-0.9633255004882812,0,61,
62,,-0.9629249572753906,0,62,
63,,-0.979156494140625,0,63,
64,,-0.9830665588378906,0,64,
65,,-0.9831428527832031,0,65,
66,,-0.9975433349609375,0,66,
67,,-1.0058975219726562,0,67,
68,,-1.0128402709960938,0,68,
69,,-1.01898193359375,0,69,
70,,-1.0205268859863281,0,70,
71,,-1.033935546875,0,71,
72,,-1.0344123840332031,0,72,
73,,-1.0403251647949219,0,73,
74,,-1.0485458374023438,0,74,
75,,-1.053924560546875,0,75,
76,,-1.0608673095703125,0,76,
77,,-1.0787391662597656,0,77,
78,,-1.0918045043945312,0,78,
79,,-1.1116981506347656,0,79,
80,,-1.1083984375,0,80,
