sample,time_s,value_v,sample_offset,aligned_sample,aligned_time_s
0,0.000000000,-0.9991073608398438,0,0,0.000000000
1,0.000384025,-0.9885025024414062,0,1,0.000384025
2,0.000768049,-0.9956741333007812,0,2,0.000768049
3,0.001152074,-1.0231590270996094,0,3,0.001152074
4,0.001536098,-1.0337638854980469,0,4,0.001536098
5,0.001920123,-1.0426712036132812,0,5,0.001920123
6,0.002304147,-1.041259765625,0,6,0.002304147
7,0.002688172,-1.0462379455566406,0,7,0.002688172
8,0.003072197,-1.0430717468261719,0,8,0.003072197
9,0.003456221,-1.0599327087402344,0,9,0.003456221
10,0.003840246,-1.0614585876464844,0,10,0.003840246
11,0.004224270,-1.0684776306152344,0,11,0.004224270
12,0.004608295,-1.0699081420898438,0,12,0.004608295
13,0.004992320,-1.0816192626953125,0,13,0.004992320
14,0.005376344,-1.0982131958007812,0,14,0.005376344
15,0.005760369,-1.1054039001464844,0,15,0.005760369
16,0.006144393,-1.1064338684082031,0,16,0.006144393
17,0.006528418,-1.1130523681640625,0,17,0.006528418
18,0.006912442,-1.1192703247070312,0,18,0.006912442
19,0.007296467,-1.1258125305175781,0,19,0.007296467
20,0.007680492,-1.1386871337890625,0,20,0.007680492
21,0.008064516,-1.140899658203125,0,21,0.008064516
22,0.008448541,-1.1493301391601562,0,22,0.008448541
23,0.008832565,-1.1481094360351562,0,23,0.008832565
24,0.009216590,-1.1526870727539062,0,24,0.009216590
25,0.009600614,-1.1608123779296875,0,25,0.009600614
26,0.009984639,-1.1770820617675781,0,26,0.009984639
27,0.010368664,-1.1890792846679688,0,27,0.010368664
28,0.010752688,-1.204833984375,0,28,0.010752688
29,0.011136713,-1.2129974365234375,0,29,0.011136713
30,0.011520737,-1.2008094787597656,0,30,0.011520737
31,0.011904762,-1.19476318359375,0,31,0.011904762
32,0.012288786,-1.178131103515625,0,32,0.012288786
33,0.012672811,-1.1658287048339844,0,33,0.012672811
34,0.013056836,-1.1592483520507812,0,34,0.013056836
35,0.013440860,-1.1479377746582031,0,35,0.013440860
36,0.013824885,-1.1416053771972656,0,36,0.013824885
37,0.014208909,-1.1348533630371094,0,37,0.014208909
38,0.014592934,-1.1142730712890625,0,38,0.014592934
39,0.014976959,-1.09954833984375,0,39,0.014976959
40,0.015360983,-1.0843658447265625,0,40,0.015360983
41,0.015745008,-1.0727310180664062,0,41,0.015745008
42,0.016129032,-1.0723114013671875,0,42,0.016129032
43,0.016513057,-1.066436767578125,0,43,0.016513057
44,0.016897081,-1.072845458984375,0,44,0.016897081
45,0.017281106,-1.0690689086914062,0,45,0.017281106
46,0.017665131,-1.0575103759765625,0,46,0.017665131
47,0.018049155,-1.0569572448730469,0,47,0.018049155
48,0.018433180,-1.0528373718261719,0,48,0.018433180
49,0.018817204,-1.0442161560058594,0,49,0.018817204
50,0.019201229,-1.0313224792480469,0,50,0.019201229
51,0.019585253,-1.0207176208496094,0,51,0.019585253
52,0.019969278,-1.0158920288085938,0,52,0.019969278
53,0.020353303,-1.0022354125976562,0,53,0.020353303
54,0.020737327,-0.990447998046875,0,54,0.020737327
55,0.021121352,-0.9933853149414062,0,55,0.021121352
56,0.021505376,-1.0086631774902344,0,56,0.021505376
57,0.021889401,-1.0147285461425781,0,57,0.021889401
58,0.022273425,-1.0324478149414062,0,58,0.022273425
59,0.022657450,-1.0425376892089844,0,59,0.022657450
60,0.023041475,-1.045074462890625,0,60,0.023041475
61,0.023425499,-1.0504150390625,0,61,0.023425499
62,0.023809524,-1.0561752319335938,0,62,0.023809524
63,0.024193548,-1.0614013671875,0,63,0.024193548
64,0.024577573,-1.0738945007324219,0,64,0.024577573
65,0.024961598,-1.0771369934082031,0,65,0.024961598
66,0.025345622,-1.0928916931152344,0,66,0.025345622
